artist,first_listen,last_listen,listening_span_days,total_streams,loyalty_score
Jesse Novak,2019-11-18 20:04:34+00:00,2019-11-18 20:09:25+00:00,0,20,20.0
keshi,2024-03-23 12:06:01+00:00,2024-03-23 16:53:49+00:00,0,13,13.0
Busted,2023-02-06 06:59:03+00:00,2023-02-06 14:51:15+00:00,0,8,8.0
j-hope,2019-03-19 13:43:52+00:00,2019-03-20 19:28:52+00:00,1,15,7.5
Zita,2022-09-12 19:31:04+00:00,2022-09-12 22:24:52+00:00,0,7,7.0
IC3PEAK,2019-09-03 08:46:53+00:00,2019-09-03 16:15:37+00:00,0,6,6.0
London Music Works,2022-03-07 18:56:10+00:00,2022-03-08 00:50:12+00:00,0,6,6.0
Samuel Kim,2022-03-07 21:22:39+00:00,2022-03-08 01:52:37+00:00,0,6,6.0
Tom Cochrane,2022-03-08 06:14:29+00:00,2022-03-08 07:51:31+00:00,0,6,6.0
Vinod Rathod,2020-02-16 20:08:46+00:00,2020-02-16 20:26:56+00:00,0,6,6.0
Bad Lip Reading,2022-03-08 00:08:47+00:00,2022-03-08 01:38:20+00:00,0,5,5.0
Bear McCreary,2022-03-07 21:15:14+00:00,2022-03-08 01:34:56+00:00,0,5,5.0
C. Tangana,2019-05-02 16:14:50+00:00,2019-05-02 16:19:35+00:00,0,5,5.0
Iggy Azalea,2019-05-18 19:07:31+00:00,2019-05-18 19:07:55+00:00,0,5,5.0
Kelsea Ballerini,2020-03-21 14:05:38+00:00,2020-03-21 18:06:44+00:00,0,5,5.0
Promoting Sounds,2020-09-07 05:11:01+00:00,2020-09-07 09:58:07+00:00,0,5,5.0
Brainy,2025-05-31 04:40:16+00:00,2025-09-24 21:35:42+00:00,116,545,4.6581196581196584
Bedroom,2022-06-05 05:33:55+00:00,2022-06-05 20:34:08+00:00,0,4,4.0
Big Star,2020-04-26 04:07:13+00:00,2020-04-26 05:03:46+00:00,0,4,4.0
Bo Burnham,2021-08-19 15:59:59+00:00,2021-08-21 05:58:15+00:00,1,8,4.0
ChainReaction,2019-04-22 10:28:34+00:00,2019-04-22 11:31:42+00:00,0,4,4.0
Elvis Drew,2024-11-02 06:10:32+00:00,2024-11-02 13:04:18+00:00,0,4,4.0
Gaho,2024-07-17 13:14:31+00:00,2024-07-17 13:17:39+00:00,0,4,4.0
Hridaynath Mangeshkar,2025-01-08 04:16:34+00:00,2025-01-08 04:20:41+00:00,0,4,4.0
James Burke,2019-05-02 16:31:02+00:00,2019-05-03 16:08:42+00:00,0,4,4.0
Keith Forsey,2019-04-12 17:36:15+00:00,2019-04-12 17:40:59+00:00,0,4,4.0
Kevin Kiner,2022-03-07 19:23:54+00:00,2022-03-07 21:06:25+00:00,0,4,4.0
L̼c,2022-09-12 20:38:37+00:00,2022-09-12 23:18:23+00:00,0,4,4.0
New Found Glory,2024-09-23 22:00:59+00:00,2024-09-25 00:59:50+00:00,1,8,4.0
Yasser Desai,2019-03-08 16:17:57+00:00,2019-03-09 11:30:46+00:00,0,4,4.0
